,fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,wind_height,side_to_start_ignition,number_igniters,firing_technique,ignition_type,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
2132,2028,2130,0.6377930641174316,,,0.2,0.9,2.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2133,2028,2130,0.5818118453025818,,,0.2,0.9,2.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2134,2028,2130,0.8359439373016357,,,0.1,0.9,5.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2135,2028,2130,0.8473533391952515,,,0.1,0.9,8.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2136,2028,2130,0.938366174697876,,,0.05,0.9,8.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2137,2028,2130,0.9191151261329651,,,0.05,0.9,8.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2138,2028,2130,0.8328124284744263,,,0.1,0.9,5.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2139,2028,2130,0.7228478789329529,,,0.15,0.9,2.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2140,2028,2130,0.6771565079689026,,,0.2,0.9,5.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2141,2028,2130,0.8716269135475159,,,0.05,0.9,2.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2142,2028,2130,0.8529127836227417,,,0.05,0.9,2.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2143,2020,2131,0.9658763408660889,,,0.1,0.9,8.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2144,2020,2131,0.9738557934761047,,,0.05,0.9,4.0,247.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2145,2020,2131,0.9668698906898499,,,0.1,0.9,8.0,247.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2146,2020,2131,0.8317381143569946,,,0.2,0.9,4.0,247.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2147,2020,2131,0.952817440032959,,,0.1,0.9,4.0,247.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2148,2020,2131,0.9638351202011108,,,0.1,0.9,6.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2149,2020,2131,0.9789667725563049,,,0.05,0.9,6.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2150,2020,2131,0.9549023509025574,,,0.1,0.9,6.0,232.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2151,2020,2131,0.9723169207572937,,,0.05,0.9,6.0,232.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2152,2020,2131,0.9708254337310791,,,0.05,0.9,4.0,232.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2153,2020,2131,0.8785837292671204,,,0.2,0.9,6.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2154,2020,2131,0.9377282857894897,,,0.15,0.9,8.0,247.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2155,2020,2131,0.944930911064148,,,0.15,0.9,8.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2156,2020,2131,0.9806180596351624,,,0.05,0.9,8.0,247.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2157,2020,2131,0.8222110867500305,,,0.2,0.9,6.0,232.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2158,2020,2131,0.8975011110305786,,,0.2,0.9,8.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2159,2020,2131,0.979471743106842,,,0.05,0.9,8.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2160,2020,2131,0.9197705984115601,,,0.15,0.9,4.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
2161,2020,2131,0.9758854508399963,,,0.05,0.9,4.0,262.0,6.0,right,2,strip,dashes,,,3.047851264858275,3.047851264858275,1.0,3697.3828730441205
